client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,perceived_position_error,cpu_percent,bandwidth_per_client_kbps
1,282,241,1762088605498486605000,1762088605498,-1762088603736397840384,48,0.05059210251102423,2.4,47.41624025650532
1,283,242,1762088605498665256000,1762088605550,-1762088603736576622592,1,0.012723799727677489,0.0,68.62992757930095
1,284,243,1762088605550147778000,1762088605551,-1762088603788059082752,51,0.04947361085794381,0.0,68.6833656541105
1,285,244,1762088605550336210000,1762088605586,-1762088603788247564288,34,0.056645334358594125,0.0,154.49842489860362
1,286,245,1762088605601459994000,1762088605601,-1762088603839371149312,19,0.07814480703068938,14.3,155.332738349733
1,287,246,1762088605601631722000,1762088605602,-1762088603839543115776,14,0.05368085949935473,0.0,75.7479921015231
1,288,247,1762088605653077194000,1762088605653,-1762088603890988613632,50,0.07685106202930331,0.0,105.69118989502482
1,289,248,1762088605653372139000,1762088605655,-1762088603891283525632,49,0.0438029116217094,0.0,147.69779044097504
1,290,249,1762088605703878038000,1762088605704,-1762088603941789499392,47,0.012418097900854864,0.0,110.76678343254589
1,291,250,1762088605704200678000,1762088605706,-1762088603942111936512,47,0.08337242218082631,50.0,85.14394563177427
1,292,251,1762088605754926619000,1762088605755,-1762088603992837849088,48,0.06719269519271835,0.0,153.843591877882
1,293,252,1762088605755267118000,1762088605757,-1762088603993178374144,47,0.00998390581230646,0.0,193.5701956931809
1,295,254,1762088605805939098000,1762088605806,-1762088604043850547200,47,0.09129172912780333,0.0,130.23008206332764
1,296,255,1762088605806227679000,1762088605807,-1762088604044138905600,48,0.018883137106867523,0.0,53.03264267112447
1,297,256,1762088605857300960000,1762088605858,-1762088604095212158976,49,0.0042821235424344685,0.0,155.46962044878063
1,298,257,1762088605857625404000,1762088605859,-1762088604095536693248,49,0.02585284589990108,0.0,102.64172226770278
1,299,258,1762088605908471709000,1762088605909,-1762088604146383192064,48,0.010254499006999497,4.8,92.22423187475184
1,300,259,1762088605908812774000,1762088605910,-1762088604146723979264,48,0.05468969665013941,0.0,180.06640501320763
